concept,matches,sources
Lover,75,11
Warrior,69,10
King,50,13
Shadow,35,9
Magician,33,10
Relationship,22,9
Sex,21,9
aggression,21,2
The Masochist,17,6
Love,16,10
The Sadist,16,6
Hero journey,13,8
Individuation,13,7
The Addict,13,7
The Weakling,13,8
Aggression,12,1
Dreams,12,5
The Tyrant,12,6
Women,12,7
Anger,10,4
Father,10,7
Leadership,10,3
The Detached Manipulator,10,4
Balance,9,6
Connection,9,3
Courage,9,5
Goal,9,2
Motivation,9,3
War,9,6
Intimacy,8,1
Meaning,8,4
Mother,8,6
Sensuality,8,3
The Impotent,8,5
Work,8,4
Burnout,7,4
Jung,7,5
Modernity,7,6
Truth,7,4
passive aggression,7,2
Erotic Sensuality,6,1
Mental illness,6,3
Soul,6,3
Wholeness,6,3
Wound,6,2
Addiction,5,4
Feminine,5,4
Perfectionism,5,3
Spirituality,5,4
Community,4,4
Create a sacred space,4,1
Creativity,4,4
Evil,4,2
Mentor,4,4
Music,4,3
Narcissism,4,2
Religion and myth,4,3
Shaman,4,3
Society,4,4
power,4,3
symbols,4,3
Boundaries,3,2
Desire,3,3
Energies,3,2
Fortitude,3,3
Grief,3,1
Happiness,3,3
Hate,3,3
Health,3,2
Inflation,3,1
Integrity,3,2
Morality,3,2
Robert Moore,3,2
Self-discipline,3,3
The Denying Innocent One,3,3
devotion,3,2
jesus,3,2
Archetypes,2,1
Armageddon,2,2
Assertive,2,2
Bill Gates,2,2
Consumerism,2,2
Control,2,2
Fourth Turning,2,2
Healer,2,2
Insight,2,2
Intuition,2,2
Porn,2,2
Puer,2,2
Robert Bly,2,1
Science,2,2
Therapist,2,2
WW3,2,2
Wild man,2,2
joy,2,1
shadow work,2,2
strength,2,2
wisdom,2,2
Admiration,1,1
Attraction,1,1
Chalice,1,1
Culture,1,1
Death,1,1
Embodiment,1,1
Fate,1,1
Freedom,1,1
Gender identity,1,1
Golden shadow,1,1
Holy Grail,1,1
Inclusive Caring,1,1
Joseph Campbell,1,1
Knowledge,1,1
Mysticism,1,1
Nazis,1,1
Observance of archetype,1,1
Poem,1,1
Practices,1,1
Projection,1,1
Rebel,1,1
Revolution,1,1
Ritual,1,1
Socrates,1,1
Victim,1,1
Vocation,1,1
active imagination,1,1
anima,1,1
depression,1,1
detached,1,1
ego,1,1
endurance,1,1
erotic sensuality,1,1
legacy,1,1
manipulation,1,1
passion,1,1
suffering,1,1
trinity,1,1
trust,1,1
unconscious,1,1
