source,source_type,title,author,year,folder,filename,rows
"Absent Fathers, Lost Sons (Guy Corneau, 1991)",book,"Absent Fathers, Lost Sons",Guy Corneau,1991,sources/books,absent-fathers-lost-sons-guy-corneau-1991.md,1
"Creative Aggression, George Bach, 1975",book,"Creative Aggression, George Bach, 1975",,,sources/books,creative-aggression-george-bach-1975.md,31
"Ego and Archetype (Edward Edinger, 1972)",book,Ego and Archetype,Edward Edinger,1972,sources/books,ego-and-archetype-edward-edinger-1972.md,19
"Facing The Dragon, Robert Moore (",book,"Facing The Dragon, Robert Moore (",,,sources/books,facing-the-dragon-robert-moore.md,13
"Finding The King Within (Rod Boothroyd, 2024)",book,Finding The King Within,Rod Boothroyd,2024,sources/books,finding-the-king-within-rod-boothroyd-2024.md,26
"Fire In The Belly (Sam Keen, 1991)",book,Fire In The Belly,Sam Keen,1991,sources/books,fire-in-the-belly-sam-keen-1991.md,23
Home Coming (John Bradshaw),book,Home Coming,John Bradshaw,,sources/books,home-coming-john-bradshaw.md,11
"Inner Work (Robert Johnson, 1986)",book,Inner Work,Robert Johnson,1986,sources/books,inner-work-robert-johnson-1986.md,7
"Iron John (Robert Bly, 1990)",book,Iron John,Robert Bly,1990,sources/books,iron-john-robert-bly-1990.md,1
"King Warrior Magician Lover (Gillette and Moore, 1990)",book,King Warrior Magician Lover,Gillette and Moore,1990,sources/books,king-warrior-magician-lover-gillette-and-moore-1990.md,57
"Peace Be Shadow Work, C.J. Perry (2021)",book,"Peace Be Shadow Work, C.J. Perry",2021,,sources/books,peace-be-shadow-work-c-j-perry-2021.md,1
"Resistance, Rebellion, and Death (Albert Camus, 1995)",book,"Resistance, Rebellion, and Death",Albert Camus,1995,sources/books,resistance-rebellion-and-death-albert-camus-1995.md,2
The Magician Within (Moore and Gillete),book,The Magician Within,Moore and Gillete,,sources/books,the-magician-within-moore-and-gillete.md,3
"The Wisdom of Insecurity (Alan Watts, 1951)",book,The Wisdom of Insecurity,Alan Watts,1951,sources/books,the-wisdom-of-insecurity-alan-watts-1951.md,1
"To Love And Be Loved (Sam Keen, 1997)",book,To Love And Be Loved,Sam Keen,1997,sources/books,to-love-and-be-loved-sam-keen-1997.md,14
"Warrior Magician Lover King (Rod Boothroyd, 2018)",book,Warrior Magician Lover King,Rod Boothroyd,2018,sources/books,warrior-magician-lover-king-rod-boothroyd-2018.md,53
"We (Robert Johnson, 1983)",book,We,Robert Johnson,1983,sources/books,we-robert-johnson-1983.md,16
Audio,media,Audio,,,sources/media,audio.md,22
Robert L. Moore — The Magician Within: Lecture 1 of 5.,media,Robert L. Moore — The Magician Within: Lecture 1 of 5.,,,sources/media,robert-l-moore-the-magician-within-lecture-1-of-5.md,1
Robert Moore Audio Lecture,media,Robert Moore Audio Lecture,,,sources/media,robert-moore-audio-lecture.md,4
Video,media,Video,,,sources/media,video.md,2
Artwork,misc,Artwork,,,sources/misc,artwork.md,10
Meditations,misc,Meditations,,,sources/misc,meditations.md,1
Quotations,misc,Quotations,,,sources/misc,quotations.md,6
